"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"Jun '19","7.500","7.575","7.700","7.450","-","0,67%"
"Mei '19","7.450","7.600","7.675","6.625","701,73M","-2,30%"
"Apr '19","7.625","7.375","8.025","7.275","658,28M","4,10%"
"Mar '19","7.325","7.250","7.400","7.000","934,52M","2,45%"
"Feb '19","7.150","8.475","8.500","7.150","818,49M","-15,38%"
"Jan '19","8.450","8.200","8.550","7.950","834,90M","2,74%"
"Des '18","8.225","8.700","8.775","8.050","634,14M","-3,80%"
"Nov '18","8.550","7.925","8.625","7.825","798,43M","8,23%"
"Okt '18","7.900","7.225","7.900","6.700","623,91M","7,48%"
"Sep '18","7.350","7.275","7.575","6.600","587,86M","1,38%"
"Ags '18","7.250","7.150","7.600","6.600","578,05M","1,40%"
"Jul '18","7.150","6.650","7.150","6.100","483,33M","8,33%"
"Jun '18","6.600","7.050","7.100","6.275","546,48M","-4,35%"
"Mei '18","6.900","7.200","7.400","6.525","723,64M","-3,50%"
"Apr '18","7.150","7.350","7.975","7.050","486,33M","-2,05%"
"Mar '18","7.300","8.100","8.200","7.050","779,05M","-9,60%"
"Feb '18","8.075","8.525","8.750","8.000","566,37M","-5,00%"
"Jan '18","8.500","8.300","8.750","8.000","611,90M","2,41%"
"Des '17","8.300","8.175","8.475","7.975","544,26M","4,08%"
"Nov '17","7.975","8.000","8.600","7.975","540,09M","-0,31%"
"Okt '17","8.000","7.900","8.525","7.800","495,66M","1,27%"
"Sep '17","7.900","7.925","7.950","7.625","568,03M","0,32%"
"Ags '17","7.875","7.975","8.050","7.650","800,04M","-1,25%"
"Jul '17","7.975","8.950","9.025","7.900","958,35M","-10,64%"
"Jun '17","8.925","8.750","9.150","8.650","414,37M","2,00%"
"Mei '17","8.750","9.000","9.050","8.325","665,21M","-2,23%"
"Apr '17","8.950","8.700","9.350","8.350","487,36M","3,77%"
"Mar '17","8.625","8.225","8.800","8.100","753,67M","5,18%"
"Feb '17","8.200","8.000","8.425","7.850","532,45M","3,14%"
"Jan '17","7.950","8.150","8.250","7.900","404,15M","-3,93%"
"Des '16","8.275","7.650","8.275","7.325","539,24M","9,60%"
"Nov '16","7.550","8.250","8.400","7.300","851,67M","-8,21%"
"Okt '16","8.225","8.425","8.600","8.075","551,15M","-0,30%"
"Sep '16","8.250","8.100","8.875","7.700","662,74M","1,23%"
"Ags '16","8.150","7.900","8.650","7.650","1,06B","5,50%"
"Jul '16","7.725","7.450","7.825","6.975","787,67M","4,39%"
"Jun '16","7.400","6.625","7.400","6.500","672,79M","12,12%"
"Mei '16","6.600","6.775","6.800","6.000","685,04M","-1,86%"
"Apr '16","6.725","7.350","7.850","6.600","706,45M","-7,24%"
"Mar '16","7.250","6.825","7.525","6.575","812,66M","6,62%"
"Feb '16","6.800","6.500","7.150","6.050","934,00M","5,43%"
"Jan '16","6.450","5.950","6.450","5.700","913,77M","7,50%"
"Des '15","6.000","6.050","6.600","5.800","789,76M","1,27%"
"Nov '15","5.925","5.825","6.850","5.800","729,37M","0,42%"
"Okt '15","5.900","5.250","6.875","5.075","763,51M","12,92%"
"Sep '15","5.225","5.900","6.200","4.975","492,52M","-11,81%"
"Ags '15","5.925","6.475","6.875","5.450","683,21M","-10,90%"
"Jul '15","6.650","7.125","7.150","6.325","325,11M","-6,01%"
"Jun '15","7.075","7.300","7.350","6.550","472,45M","-3,08%"
"Mei '15","7.300","7.000","7.950","6.950","501,54M","6,57%"
"Apr '15","6.850","8.575","8.575","6.700","760,28M","-20,12%"
"Mar '15","8.575","7.850","8.575","7.800","879,26M","9,24%"
"Feb '15","7.850","7.800","8.175","7.450","559,92M","0,00%"
"Jan '15","7.850","7.475","8.100","7.000","709,83M","5,72%"
"Des '14","7.425","7.100","7.475","6.850","524,27M","4,21%"
"Nov '14","7.125","6.775","7.200","6.700","371,59M","5,17%"
"Okt '14","6.775","7.000","7.075","6.325","757,33M","-3,90%"
"Sep '14","7.050","7.575","7.750","6.950","558,87M","-6,93%"
"Ags '14","7.575","7.700","8.000","7.550","446,88M","-1,94%"
"Jul '14","7.725","7.350","8.050","7.325","706,76M","6,19%"